#FILE	SEQUENCE	PRODUCT	START	END	STRAND
A285	1413	fosA3	1562	1978	-
A286	819	fosA3	2113	2529	-
A288	583	fosA3	559	975	+
A29	929	fosA3	1841	2257	-
A293	1283	fosA3	2223	2639	-
A307	751	fosA3	1614	2030	+
A309	479	fosA3	2092	2508	+
A31	747	fosA3	1577	1993	-
A317	13635	fosA3	1965	2381	-
A318	13344	fosA3	1834	2250	-
A319	1210	fosA3	335	751	+
A323	720	fosA3	559	975	+
A324	1289	fosA3	2344	2760	-
A329	565	fosA3	16281	16697	+
A33	645	fosA3	2092	2508	+
A330	1169	fosA3	2092	2508	+
A331	789	fosA3	1562	1978	-
A333	985	fosA3	2057	2473	-
A334	1128	fosA3	1577	1993	-
A336	968	fosA3	2092	2508	+
A341	96	fosA3	506	922	-
A345	701	fosA3	1143	1559	+
A350	1196	fosA3	1842	2258	-
A357	825	fosA3	1577	1993	-
A363	728	fosA3	1307	1723	-
A364	649	fosA3	935	1351	+
A383	675	fosA3	2113	2529	-
A391	557	fosA3	1946	2362	-
A392	378	fosA3	408	824	+
A397	1009	fosA3	1577	1993	-
A40	1090	fosA3	1143	1559	+
A401	593	fosA3	2092	2508	+
A41	922	fosA3	935	1351	+
A412	758	fosA3	1307	1723	-
A414	714	fosA3	3399	3815	-
A415	766	fosA3	1307	1723	-
A418	732	fosA3	1577	1993	-
A419	1151	fosA3	1143	1559	+
A423	1307	fosA3	1007	1423	-
A427	1077	fosA3	701	1117	+
A432	1156	fosA3	1143	1559	+
A439	769	fosA3	1843	2259	-
A44	774	fosA3	1833	2249	-
A449	799	fosA3	9366	9782	-
A455	915	fosA3	1087	1503	+
A465	703	fosA3	653	1069	+
A471	932	fosA3	2043	2459	-
A482	779	fosA3	1738	2154	+
A493	781	fosA3	2057	2473	-
A500	634	fosA3	781	1197	+
A67	1114	fosA3	653	1069	+
A68	997	fosA3	1143	1559	+
A70	927	fosA3	1143	1559	+
A75	1071	fosA3	1577	1993	-
A8	631	fosA3	781	1197	+
A16	963	fosA7	12572	12994	+
A33	683	fosA7	1531	1953	+
A369	626	fosA7	12572	12994	+
A402	687	fosA7	13769	14191	+
A9	1114	fosA7	12562	12984	+
A103	939	lnu(F)	606	1427	+
A111	649	lnu(F)	606	1420	+
A142	687	lnu(F)	606	1427	+
A148	5980	lnu(F)	916	1737	+
A15	844	lnu(F)	1870	2691	+
A17	738	lnu(F)	1658	2479	+
A181	834	lnu(F)	172	993	-
A184	286	lnu(F)	150	971	+
A215	139	lnu(F)	152	973	-
A217	781	lnu(F)	140	961	+
A236	552	lnu(F)	606	1427	+
A243	1032	lnu(F)	37339	38160	+
A25	554	lnu(F)	1643	2464	+
A254	1573	lnu(F)	2492	3252	+
A255	461	lnu(F)	910	1731	-
A291	651	lnu(F)	916	1737	+
A299	608	lnu(F)	606	1427	+
A304	694	lnu(F)	1517	2338	+
A321	515	lnu(F)	910	1731	-
A353	1021	lnu(F)	172	993	-
A4	618	lnu(F)	547	1368	-
A411	675	lnu(F)	827	1648	-
A421	545	lnu(F)	606	1427	+
A442	818	lnu(F)	916	1676	+
A446	722	lnu(F)	606	1427	+
A450	643	lnu(F)	854	1675	-
A453	451	lnu(F)	172	993	-
A456	790	lnu(F)	606	1427	+
A475	1015	lnu(F)	5458	6279	-
A484	652	lnu(F)	606	1427	+
A49	871	lnu(F)	606	1427	+
A501	717	lnu(F)	230	1051	+
A502	587	lnu(F)	172	993	-
A83	977	lnu(F)	454	1214	-
A94	872	lnu(F)	934	1694	+
A329	556	lnu(G)	32014	32817	-
A104	1069	mcr-1.1	1257	2882	+
A107	798	mcr-1.1	882	2507	-
A119	2232	mcr-1.1	1868	3493	-
A121	693	mcr-1.1	184	1809	+
A121	707	mcr-1.1	50663	52288	+
A121	713	mcr-1.1	3798	5423	+
A121	797	mcr-1.1	184	1809	+
A130	857	mcr-1.1	2480	4105	-
A132	981	mcr-1.1	10614	12239	-
A133	624	mcr-1.1	3618	5243	+
A140	824	mcr-1.1	29394	31019	-
A145	597	mcr-1.1	300559	302184	-
A146	762	mcr-1.1	4242	5867	-
A150	673	mcr-1.1	4539	6164	-
A151	902	mcr-1.1	8977	10602	-
A152	607	mcr-1.1	3618	5243	+
A159	1131	mcr-1.1	1257	2882	+
A162	1024	mcr-1.1	1177	2802	+
A164	791	mcr-1.1	6137	7762	-
A168	810	mcr-1.1	12305	13930	+
A170	1026	mcr-1.1	8978	10603	-
A18	807	mcr-1.1	11358	12983	+
A183	787	mcr-1.1	832	2457	-
A184	469	mcr-1.1	136	1761	+
A189	734	mcr-1.1	184	1809	+
A189	735	mcr-1.1	184	1809	+
A193	1444	mcr-1.1	8978	10603	-
A195	1171	mcr-1.1	11432	13057	-
A199	1083	mcr-1.1	9479	11104	-
A203	237	mcr-1.1	10286	11911	+
A209	1030	mcr-1.1	6199	7824	+
A212	620	mcr-1.1	13653	15278	+
A217	914	mcr-1.1	267	1892	+
A225	1320	mcr-1.1	6041	7666	+
A229	984	mcr-1.1	10222	11847	+
A232	321	mcr-1.1	860	2485	-
A234	805	mcr-1.1	10620	12245	-
A239	1266	mcr-1.1	10036	11661	-
A24	617	mcr-1.1	45795	47420	-
A242	1270	mcr-1.1	4188	5813	-
A246	1083	mcr-1.1	9050	10675	-
A251	491	mcr-1.1	1257	2882	+
A267	811	mcr-1.1	91745	93370	-
A27	1041	mcr-1.1	28241	29866	-
A272	650	mcr-1.1	4317	5942	-
A283	883	mcr-1.1	27453	29078	-
A284	945	mcr-1.1	1868	3493	-
A285	1513	mcr-1.1	24286	25911	-
A291	576	mcr-1.1	10278	11903	+
A293	1239	mcr-1.1	17302	18927	-
A296	736	mcr-1.1	10614	12239	-
A298	829	mcr-1.1	3617	5242	+
A305	659	mcr-1.1	3798	5423	+
A308	794	mcr-1.1	1177	2802	+
A309	523	mcr-1.1	29462	31087	+
A313	726	mcr-1.1	1177	2802	+
A320	839	mcr-1.1	880	2505	-
A323	729	mcr-1.1	1177	2802	+
A326	811	mcr-1.1	4188	5813	-
A327	873	mcr-1.1	9478	11103	-
A329	520	mcr-1.1	2507	4132	+
A330	1258	mcr-1.1	91678	93303	-
A331	797	mcr-1.1	45709	47334	-
A332	1304	mcr-1.1	4188	5813	-
A334	1130	mcr-1.1	22614	24239	+
A338	772	mcr-1.1	1870	3495	-
A340	1038	mcr-1.1	27159	28784	-
A343	1117	mcr-1.1	10136	11761	-
A35	680	mcr-1.1	2571	4196	-
A352	928	mcr-1.1	27708	29333	-
A357	830	mcr-1.1	28597	30222	+
A359	806	mcr-1.1	4197	5822	-
A362	788	mcr-1.1	9478	11103	-
A363	950	mcr-1.1	9479	11104	-
A374	2442	mcr-1.1	55313	56938	-
A394	592	mcr-1.1	1177	2802	+
A395	638	mcr-1.1	49761	51386	+
A397	1047	mcr-1.1	1257	2882	+
A412	708	mcr-1.1	1258	2883	+
A415	717	mcr-1.1	65848	67473	-
A418	635	mcr-1.1	190	1815	+
A418	725	mcr-1.1	5337	6962	-
A418	729	mcr-1.1	190	1815	+
A418	729	mcr-1.1	58071	59696	+
A418	731	mcr-1.1	3798	5423	+
A426	634	mcr-1.1	87682	89307	-
A429	1285	mcr-1.1	242	1867	+
A431	7596	mcr-1.1	1257	2882	+
A432	1223	mcr-1.1	27793	29418	-
A436	712	mcr-1.1	50662	52287	+
A438	656	mcr-1.1	861	2486	+
A439	746	mcr-1.1	3527	5152	+
A439	784	mcr-1.1	193	1818	+
A439	785	mcr-1.1	193	1818	+
A439	893	mcr-1.1	11827	13452	+
A444	2480	mcr-1.1	8977	10602	-
A445	611	mcr-1.1	27533	29158	-
A45	882	mcr-1.1	1781	3406	-
A456	791	mcr-1.1	3529	5154	+
A456	811	mcr-1.1	2489	4114	-
A458	1169	mcr-1.1	98524	100149	+
A46	1014	mcr-1.1	1959	3584	-
A463	736	mcr-1.1	27879	29504	-
A466	624	mcr-1.1	27879	29504	-
A470	1321	mcr-1.1	4539	6164	-
A481	2938	mcr-1.1	1129	2754	-
A483	1481	mcr-1.1	8977	10602	-
A485	448	mcr-1.1	10127	11752	-
A486	1432	mcr-1.1	9549	11174	-
A490	695	mcr-1.1	3984	5609	+
A492	1733	mcr-1.1	14290	15915	+
A497	990	mcr-1.1	3798	5423	+
A504	953	mcr-1.1	861	2486	+
A505	1756	mcr-1.1	14290	15915	+
A506	860	mcr-1.1	76157	77782	-
A53	311	mcr-1.1	11378	13003	+
A55	658	mcr-1.1	8977	10602	-
A56	800	mcr-1.1	8972	10597	-
A66	620	mcr-1.1	9745	11370	-
A67	1147	mcr-1.1	1868	3493	-
A7	1300	mcr-1.1	17016	18641	+
A75	997	mcr-1.1	91786	93411	-
A82	808	mcr-1.1	47175	48800	+
A86	809	mcr-1.1	1106	2731	+
A92	262	mcr-1.1	9478	11103	-
A94	931	mcr-1.1	12323	13948	+
A95	610	mcr-1.1	792	2417	-
A95	611	mcr-1.1	792	2417	-
A95	612	mcr-1.1	184	1809	+
A95	615	mcr-1.1	4220	5845	-
A98	1521	mcr-1.1	9478	11103	-
A213	1238	mcr-3.1	1275	2900	+
A324	1342	mcr-3.1	6331	7956	+
A492	1694	mcr-3.1	1747	3372	-
A505	1780	mcr-3.1	11422	13047	-
A339	944	mcr-3.5	938	2563	-
A1	907	mdf(A)	101915	103147	+
A10	558	mdf(A)	28250	29482	+
A100	687	mdf(A)	132347	133579	+
A101	519	mdf(A)	226478	227710	-
A103	969	mdf(A)	47805	49037	-
A104	1191	mdf(A)	102051	103283	+
A105	1112	mdf(A)	78603	79835	+
A106	1216	mdf(A)	79721	80953	-
A107	835	mdf(A)	63204	64436	+
A108	657	mdf(A)	208742	209974	-
A109	800	mdf(A)	80779	82011	+
A11	1266	mdf(A)	40852	42084	+
A110	656	mdf(A)	32536	33768	-
A111	677	mdf(A)	226835	228067	-
A112	1278	mdf(A)	102190	103422	+
A113	435	mdf(A)	798	2030	+
A114	696	mdf(A)	27317	28549	+
A115	717	mdf(A)	209759	210991	-
A116	307	mdf(A)	181055	182287	+
A117	978	mdf(A)	40869	42101	+
A118	1099	mdf(A)	30225	31457	-
A119	2176	mdf(A)	100850	102082	-
A12	952	mdf(A)	209808	211040	-
A120	590	mdf(A)	144769	146001	+
A121	739	mdf(A)	33881	35113	-
A122	1186	mdf(A)	327157	328389	-
A123	709	mdf(A)	63063	64295	+
A124	778	mdf(A)	145241	146473	+
A125	794	mdf(A)	65129	66361	-
A126	979	mdf(A)	119161	120393	-
A127	575	mdf(A)	62103	63335	-
A128	1477	mdf(A)	28649	29881	-
A129	418	mdf(A)	26060	27292	+
A13	1214	mdf(A)	27312	28544	+
A130	967	mdf(A)	150542	151774	+
A131	796	mdf(A)	63062	64294	+
A132	898	mdf(A)	33944	35176	-
A133	669	mdf(A)	62851	64083	-
A134	1104	mdf(A)	102062	103294	+
A135	845	mdf(A)	79242	80474	+
A136	556	mdf(A)	226835	228067	-
A137	809	mdf(A)	28272	29504	+
A138	971	mdf(A)	312959	314191	+
A139	644	mdf(A)	6784	8016	-
A14	1150	mdf(A)	94603	95835	-
A140	885	mdf(A)	332030	333262	-
A141	585	mdf(A)	83187	84419	+
A142	769	mdf(A)	26631	27863	+
A143	759	mdf(A)	202300	203532	-
A144	580	mdf(A)	208754	209986	-
A145	598	mdf(A)	27317	28549	+
A146	799	mdf(A)	200120	201352	-
A147	558	mdf(A)	226835	228067	-
A148	6059	mdf(A)	25970	27202	+
A149	620	mdf(A)	408289	409521	-
A15	789	mdf(A)	40142	41374	-
A150	463	mdf(A)	28522	29754	-
A151	914	mdf(A)	27365	28597	+
A152	621	mdf(A)	27327	28559	+
A153	654	mdf(A)	47168	48400	-
A154	712	mdf(A)	209052	210284	-
A155	879	mdf(A)	81227	82459	+
A156	707	mdf(A)	208589	209821	-
A157	831	mdf(A)	63061	64293	+
A158	663	mdf(A)	208754	209986	-
A159	1190	mdf(A)	102051	103283	+
A16	933	mdf(A)	26123	27355	+
A160	536	mdf(A)	26060	27292	+
A161	516	mdf(A)	248267	249499	-
A162	1001	mdf(A)	28130	29362	-
A163	1199	mdf(A)	149483	150715	-
A164	748	mdf(A)	209762	210994	-
A165	544	mdf(A)	27164	28396	-
A166	673	mdf(A)	30203	31435	-
A167	610	mdf(A)	221525	222757	-
A168	779	mdf(A)	101656	102888	+
A169	496	mdf(A)	225663	226895	-
A17	668	mdf(A)	226831	228063	-
A170	1098	mdf(A)	27306	28538	+
A171	934	mdf(A)	76668	77900	-
A172	835	mdf(A)	375328	376560	-
A173	1512	mdf(A)	128704	129936	+
A174	674	mdf(A)	27417	28649	+
A175	514	mdf(A)	212484	213716	-
A176	911	mdf(A)	64919	66151	-
A177	641	mdf(A)	62794	64026	+
A178	552	mdf(A)	63063	64295	+
A179	485	mdf(A)	7394	8626	-
A18	882	mdf(A)	209822	211054	-
A180	694	mdf(A)	25703	26935	-
A181	953	mdf(A)	69296	70528	+
A183	1558	mdf(A)	7912	9144	+
A184	845	mdf(A)	51480	52712	-
A185	1275	mdf(A)	40840	42072	-
A186	1314	mdf(A)	9872	11104	+
A187	449	mdf(A)	9951	11183	+
A188	1473	mdf(A)	5168	6400	+
A189	512	mdf(A)	31135	32367	-
A19	445	mdf(A)	95471	96703	+
A190	796	mdf(A)	13171	14403	-
A191	744	mdf(A)	102097	103329	+
A192	809	mdf(A)	352555	353787	+
A193	1427	mdf(A)	64104	65336	-
A194	932	mdf(A)	13443	14675	-
A195	1139	mdf(A)	68032	69264	-
A196	755	mdf(A)	69788	71020	-
A197	1656	mdf(A)	77433	78665	+
A198	1351	mdf(A)	78421	79653	+
A199	1219	mdf(A)	27317	28549	+
A2	1000	mdf(A)	120121	121353	+
A20	546	mdf(A)	68805	70037	-
A201	816	mdf(A)	69726	70958	-
A202	761	mdf(A)	27798	29030	-
A203	1717	mdf(A)	62831	64063	-
A204	772	mdf(A)	15951	17183	-
A205	1038	mdf(A)	14750	15982	-
A206	1998	mdf(A)	94480	95712	-
A207	258	mdf(A)	8659	9891	-
A208	924	mdf(A)	30182	31414	-
A209	951	mdf(A)	27414	28646	+
A21	749	mdf(A)	63063	64295	+
A210	885	mdf(A)	82957	84189	+
A211	905	mdf(A)	40869	42101	+
A212	561	mdf(A)	226831	228063	-
A213	1273	mdf(A)	79908	81140	+
A214	904	mdf(A)	13782	15014	-
A215	968	mdf(A)	9606	10838	+
A216	1224	mdf(A)	43494	44726	-
A217	1007	mdf(A)	62868	64100	+
A218	890	mdf(A)	71771	73003	-
A219	880	mdf(A)	75390	76622	-
A22	769	mdf(A)	114964	116196	-
A220	5	mdf(A)	15700	16932	-
A221	637	mdf(A)	146360	147592	+
A222	1127	mdf(A)	27414	28646	+
A223	1069	mdf(A)	40954	42192	-
A224	711	mdf(A)	27327	28559	+
A225	116	mdf(A)	102480	103712	+
A226	773	mdf(A)	186581	187813	-
A227	896	mdf(A)	61548	62780	-
A228	894	mdf(A)	30330	31562	-
A229	1063	mdf(A)	209822	211054	-
A23	539	mdf(A)	68560	69792	-
A230	1438	mdf(A)	112999	114231	-
A231	28	mdf(A)	77834	79066	+
A232	817	mdf(A)	1171	2403	+
A233	498	mdf(A)	209759	210991	-
A234	789	mdf(A)	225791	227023	-
A235	1161	mdf(A)	1	1064	-
A236	547	mdf(A)	33944	35176	-
A237	1106	mdf(A)	78883	80115	+
A238	1243	mdf(A)	40840	42072	-
A239	1265	mdf(A)	102625	103857	+
A24	570	mdf(A)	27324	28556	+
A240	592	mdf(A)	81434	82666	+
A241	852	mdf(A)	27317	28549	+
A242	1178	mdf(A)	78368	79600	+
A243	1037	mdf(A)	8417	9649	+
A244	871	mdf(A)	430800	432032	-
A245	819	mdf(A)	27324	28556	+
A246	1081	mdf(A)	33944	35176	-
A247	719	mdf(A)	165754	166986	-
A248	801	mdf(A)	40869	42101	+
A249	1261	mdf(A)	94765	95997	-
A25	523	mdf(A)	30225	31457	-
A250	590	mdf(A)	82015	83247	+
A251	477	mdf(A)	72474	73706	-
A252	498	mdf(A)	72502	73734	-
A253	494	mdf(A)	208591	209823	-
A254	1563	mdf(A)	79296	80528	+
A255	491	mdf(A)	65003	66235	-
A256	514	mdf(A)	82407	83639	+
A257	808	mdf(A)	80779	82011	+
A258	1884	mdf(A)	159931	161163	+
A259	408	mdf(A)	8749	9981	-
A26	651	mdf(A)	226479	227711	-
A260	680	mdf(A)	368301	369533	-
A261	873	mdf(A)	94603	95835	-
A262	668	mdf(A)	105794	107026	+
A263	744	mdf(A)	28838	30070	-
A264	793	mdf(A)	27414	28646	+
A265	587	mdf(A)	17186	18418	-
A266	1295	mdf(A)	153786	155018	+
A267	770	mdf(A)	58756	59988	-
A268	843	mdf(A)	79311	80543	+
A269	994	mdf(A)	122337	123569	-
A27	967	mdf(A)	79840	81072	-
A270	388	mdf(A)	80302	81534	+
A271	949	mdf(A)	102052	103284	+
A272	680	mdf(A)	34853	36085	+
A273	801	mdf(A)	251598	252830	-
A274	783	mdf(A)	27307	28539	+
A275	651	mdf(A)	11385	12617	+
A276	567	mdf(A)	33944	35176	-
A277	920	mdf(A)	226831	228063	-
A278	1066	mdf(A)	69116	70348	-
A279	658	mdf(A)	208742	209974	-
A28	695	mdf(A)	27981	29213	-
A280	683	mdf(A)	208719	209951	-
A281	969	mdf(A)	94589	95821	-
A282	919	mdf(A)	95244	96476	-
A283	882	mdf(A)	7743	8975	+
A284	990	mdf(A)	28325	29557	-
A285	1417	mdf(A)	94625	95857	-
A286	827	mdf(A)	209855	211087	-
A287	1084	mdf(A)	80779	82011	+
A288	572	mdf(A)	183691	184923	-
A289	1107	mdf(A)	145679	146911	+
A29	972	mdf(A)	102527	103759	+
A290	1050	mdf(A)	81194	82426	+
A291	672	mdf(A)	407080	408312	-
A292	901	mdf(A)	95397	96629	-
A293	1308	mdf(A)	62783	64015	+
A294	880	mdf(A)	27327	28559	+
A295	876	mdf(A)	79809	81041	+
A296	784	mdf(A)	291691	292923	-
A297	637	mdf(A)	309379	310611	+
A298	941	mdf(A)	202016	203248	-
A299	618	mdf(A)	33881	35113	-
A3	669	mdf(A)	63053	64285	+
A30	604	mdf(A)	121617	122849	-
A300	641	mdf(A)	103968	105200	-
A301	871	mdf(A)	34682	35914	+
A302	841	mdf(A)	78755	79987	+
A303	687	mdf(A)	149535	150767	+
A304	689	mdf(A)	303819	305051	+
A305	651	mdf(A)	34853	36085	+
A306	686	mdf(A)	30203	31435	-
A307	828	mdf(A)	272096	273328	+
A308	810	mdf(A)	63062	64294	+
A309	526	mdf(A)	202737	203969	-
A31	697	mdf(A)	9883	11115	+
A310	444	mdf(A)	72512	73744	-
A311	861	mdf(A)	243927	245159	-
A312	581	mdf(A)	33944	35176	-
A313	792	mdf(A)	152131	153363	+
A314	632	mdf(A)	26858	28090	+
A315	591	mdf(A)	26583	27815	+
A316	650	mdf(A)	148444	149676	-
A317	13500	mdf(A)	21864	23096	-
A317	13555	mdf(A)	30299	31531	-
A318	13537	mdf(A)	75334	76566	-
A319	1170	mdf(A)	24505	25737	-
A32	986	mdf(A)	6946	8178	-
A320	874	mdf(A)	63804	65036	-
A321	544	mdf(A)	33881	35113	-
A322	662	mdf(A)	353955	355187	+
A323	830	mdf(A)	65946	67178	-
A324	1208	mdf(A)	202624	203856	-
A325	1301	mdf(A)	62774	64006	+
A326	848	mdf(A)	252455	253687	-
A327	922	mdf(A)	101895	103127	+
A328	1183	mdf(A)	79760	80992	-
A329	566	mdf(A)	62891	64123	-
A33	680	mdf(A)	27322	28554	+
A330	1176	mdf(A)	59260	60492	-
A331	813	mdf(A)	27324	28556	+
A332	1339	mdf(A)	102017	103249	+
A333	938	mdf(A)	8175	9407	-
A334	1123	mdf(A)	27324	28556	+
A335	919	mdf(A)	201287	202519	-
A336	907	mdf(A)	8596	9828	+
A337	474	mdf(A)	121625	122857	-
A338	748	mdf(A)	63062	64294	+
A339	868	mdf(A)	309595	310827	+
A34	683	mdf(A)	30232	31464	-
A340	1039	mdf(A)	102037	103269	+
A341	708	mdf(A)	30225	31457	-
A342	759	mdf(A)	27390	28622	-
A343	451	mdf(A)	9648	10880	+
A344	1278	mdf(A)	78735	79967	+
A345	765	mdf(A)	145226	146458	+
A346	739	mdf(A)	94255	95487	-
A347	757	mdf(A)	63178	64410	-
A348	498	mdf(A)	349541	350773	+
A349	658	mdf(A)	26933	28165	-
A35	634	mdf(A)	27314	28546	+
A350	1339	mdf(A)	145679	146911	+
A351	610	mdf(A)	209764	210996	-
A352	930	mdf(A)	151912	153144	+
A353	1125	mdf(A)	94968	96200	+
A354	944	mdf(A)	34853	36085	+
A355	845	mdf(A)	243683	244915	-
A356	956	mdf(A)	144769	146001	+
A357	906	mdf(A)	101997	103229	+
A358	653	mdf(A)	39609	40841	-
A359	833	mdf(A)	226806	228038	-
A36	967	mdf(A)	101894	103126	+
A360	452	mdf(A)	27459	28691	-
A361	856	mdf(A)	83018	84250	+
A362	709	mdf(A)	33710	34942	+
A363	904	mdf(A)	33944	35176	-
A364	650	mdf(A)	79901	81133	+
A365	763	mdf(A)	209850	211082	-
A366	717	mdf(A)	199973	201205	-
A367	714	mdf(A)	219417	220649	-
A368	610	mdf(A)	208591	209823	-
A369	588	mdf(A)	26124	27356	+
A37	626	mdf(A)	179142	180374	-
A370	578	mdf(A)	27327	28559	+
A371	1067	mdf(A)	8416	9648	+
A372	5	mdf(A)	78614	79846	+
A373	807	mdf(A)	244825	246057	-
A374	2371	mdf(A)	63380	64612	-
A375	709	mdf(A)	27414	28646	+
A376	791	mdf(A)	659	1891	-
A377	681	mdf(A)	244487	245719	-
A378	661	mdf(A)	368302	369534	-
A379	1225	mdf(A)	27324	28556	+
A38	740	mdf(A)	63063	64295	+
A380	580	mdf(A)	102527	103759	+
A381	790	mdf(A)	45786	47018	+
A382	605	mdf(A)	63063	64295	+
A383	688	mdf(A)	209503	210735	-
A384	722	mdf(A)	8177	9409	-
A385	1036	mdf(A)	226831	228063	-
A386	629	mdf(A)	27815	29047	-
A387	989	mdf(A)	76767	77999	-
A388	1201	mdf(A)	69074	70306	-
A389	660	mdf(A)	63053	64285	+
A39	530	mdf(A)	30289	31521	-
A390	562	mdf(A)	26114	27346	+
A391	667	mdf(A)	311128	312360	+
A392	548	mdf(A)	209854	211086	-
A393	1067	mdf(A)	248517	249749	-
A394	582	mdf(A)	27317	28549	+
A395	637	mdf(A)	27317	28549	+
A396	486	mdf(A)	27327	28559	+
A397	1043	mdf(A)	26900	28132	+
A398	641	mdf(A)	42677	43909	-
A399	632	mdf(A)	33881	35113	-
A4	595	mdf(A)	225663	226895	-
A40	356	mdf(A)	6149	7381	-
A400	762	mdf(A)	78614	79846	+
A401	539	mdf(A)	10867	12099	+
A402	690	mdf(A)	27415	28647	+
A403	954	mdf(A)	62784	64016	+
A404	1134	mdf(A)	94430	95662	-
A405	690	mdf(A)	209855	211087	-
A407	706	mdf(A)	78224	79456	+
A408	789	mdf(A)	209472	210704	-
A409	917	mdf(A)	2068	3300	+
A41	951	mdf(A)	209542	210774	-
A410	649	mdf(A)	28853	30085	-
A411	665	mdf(A)	101905	103137	+
A412	772	mdf(A)	51239	52471	-
A413	861	mdf(A)	8280	9512	+
A414	815	mdf(A)	33944	35176	-
A415	780	mdf(A)	11385	12617	+
A416	842	mdf(A)	79311	80543	+
A417	943	mdf(A)	101895	103127	+
A418	689	mdf(A)	27327	28559	+
A419	1254	mdf(A)	78755	79987	+
A42	1493	mdf(A)	101896	103128	+
A420	681	mdf(A)	208742	209974	-
A421	555	mdf(A)	33881	35113	-
A422	740	mdf(A)	39320	40552	-
A423	1369	mdf(A)	209466	210698	-
A424	669	mdf(A)	153218	154450	+
A425	762	mdf(A)	225663	226895	-
A426	616	mdf(A)	27327	28559	+
A427	1132	mdf(A)	61199	62431	-
A428	730	mdf(A)	175472	176704	+
A429	931	mdf(A)	79533	80765	+
A43	504	mdf(A)	358603	359835	+
A430	853	mdf(A)	62793	64025	+
A431	7595	mdf(A)	79410	80642	+
A432	1160	mdf(A)	28619	29851	-
A433	778	mdf(A)	30215	31447	-
A436	744	mdf(A)	33881	35113	-
A437	746	mdf(A)	4275	5507	-
A438	703	mdf(A)	27317	28549	+
A439	848	mdf(A)	79908	81140	+
A44	862	mdf(A)	226479	227711	-
A440	1023	mdf(A)	11326	12558	+
A441	452	mdf(A)	209763	210995	-
A442	838	mdf(A)	80752	81984	+
A443	675	mdf(A)	80332	81564	+
A444	2407	mdf(A)	78398	79630	+
A445	550	mdf(A)	62794	64026	+
A446	709	mdf(A)	68788	70020	+
A447	869	mdf(A)	159187	160419	+
A448	820	mdf(A)	144694	145926	+
A449	786	mdf(A)	292603	293835	+
A45	936	mdf(A)	367201	368433	-
A450	628	mdf(A)	27639	28871	+
A451	481	mdf(A)	27398	28630	+
A452	487	mdf(A)	62899	64131	-
A453	470	mdf(A)	33881	35113	-
A454	1445	mdf(A)	28649	29881	-
A455	964	mdf(A)	209822	211054	-
A456	835	mdf(A)	27327	28559	+
A457	673	mdf(A)	145679	146911	+
A458	1146	mdf(A)	72530	73762	-
A459	757	mdf(A)	27433	28665	-
A46	1124	mdf(A)	221329	222561	-
A460	771	mdf(A)	40717	41949	+
A461	635	mdf(A)	27317	28549	+
A462	753	mdf(A)	209762	210994	-
A463	735	mdf(A)	178600	179832	-
A464	1449	mdf(A)	28649	29881	-
A465	732	mdf(A)	176862	178094	+
A466	549	mdf(A)	62794	64026	+
A467	875	mdf(A)	27414	28646	+
A468	564	mdf(A)	27414	28646	+
A469	775	mdf(A)	41022	42254	-
A47	522	mdf(A)	33944	35176	-
A470	1225	mdf(A)	79720	80952	-
A471	966	mdf(A)	107554	108786	+
A472	526	mdf(A)	28250	29482	+
A473	808	mdf(A)	202123	203355	-
A474	646	mdf(A)	64274	65506	+
A475	966	mdf(A)	45669	46901	-
A476	1076	mdf(A)	78739	79971	+
A477	720	mdf(A)	209855	211087	-
A478	745	mdf(A)	78944	80176	+
A479	683	mdf(A)	27414	28646	+
A48	955	mdf(A)	70748	71980	-
A480	834	mdf(A)	185487	186719	+
A481	3142	mdf(A)	42059	43291	-
A482	867	mdf(A)	112953	114185	-
A483	1535	mdf(A)	40840	42072	-
A484	658	mdf(A)	32536	33768	-
A485	425	mdf(A)	101656	102888	+
A486	1477	mdf(A)	207941	209173	-
A487	918	mdf(A)	233250	234482	-
A488	947	mdf(A)	24462	25694	-
A489	1485	mdf(A)	82745	83977	-
A49	911	mdf(A)	54476	55708	-
A490	617	mdf(A)	115191	116423	-
A492	339	mdf(A)	7026	8258	-
A493	735	mdf(A)	311124	312356	-
A494	1443	mdf(A)	102052	103284	+
A495	530	mdf(A)	11010	12242	+
A496	924	mdf(A)	145679	146911	+
A497	982	mdf(A)	225643	226875	-
A498	890	mdf(A)	27526	28758	-
A499	635	mdf(A)	95135	96367	-
A5	492	mdf(A)	222373	223605	-
A500	624	mdf(A)	208687	209919	-
A501	731	mdf(A)	209855	211087	-
A502	676	mdf(A)	208659	209891	-
A503	1250	mdf(A)	30420	31652	+
A504	991	mdf(A)	27317	28549	+
A505	333	mdf(A)	7026	8258	-
A506	861	mdf(A)	186939	188171	+
A51	694	mdf(A)	16754	17986	+
A52	907	mdf(A)	68752	69984	-
A53	544	mdf(A)	30059	31291	-
A54	677	mdf(A)	63063	64295	+
A55	607	mdf(A)	63063	64295	+
A56	694	mdf(A)	225663	226895	-
A57	946	mdf(A)	119161	120393	-
A58	1317	mdf(A)	164285	165517	-
A59	565	mdf(A)	63063	64295	+
A6	805	mdf(A)	27155	28387	-
A60	1073	mdf(A)	78602	79834	+
A61	836	mdf(A)	40794	42026	-
A62	565	mdf(A)	63053	64285	+
A63	921	mdf(A)	72512	73744	-
A64	503	mdf(A)	66962	68194	-
