PLAS	GENE	CLASS	START	END	STARND	strand
A412_p0-4	ant(3'')-Ia	Aminoglycoside	206588	207389	forward	1
A412_p0-4	sul3	Sulphonamide	209071	209862	reverse	-1
A412_p0-4	IS26	IS	211656	212475	reverse	-1
A412_p0-4	aph(3')-Ia	Aminoglycoside	212563	213378	forward	1
A412_p0-4	IS26	IS	213516	214335	reverse	-1
A412_p0-4	sul1	Sulphonamide	214828	215694	reverse	-1
A412_p0-4	oqxA	Quinolone	220755	221930	forward	1
A412_p0-4	oqxB	Quinolone	221954	225106	forward	1
A412_p0-4	IS1006	IS	227818	228636	reverse	-1
A412_p0-4	ISVsa3	IS	228637	229481	forward	1
A412_p0-4	floR	Phenicol	230600	231813	forward	1
A412_p0-4	ISVsa3	IS	232789	233765	forward	1
A412_p0-4	sul2	Sulphonamide	234317	235132	reverse	-1
A412_p0-4	ISAba1	IS	235151	236330	forward	1
A412_p0-4	ISEc59	IS	238722	239612	forward	1
A412_p0-4	aph(4)-Ia	Aminoglycoside	239979	241004	reverse	-1
A412_p0-4	aac(3)-IVa	Aminoglycoside	241225	242009	reverse	-1
A412_p0-4	IS26	IS	242060	242879	forward	1
A412_p0-4	blaCTX-M-14	Beta-lactam	243130	244005	forward	1
A412_p0-4	fosA3	Fosfomycin	244617	245033	forward	1
A412_p0-4	IS26	IS	246256	247075	reverse	-1
A412_p0-4	aln	aln	247175	248175	forward	1
A430_chr-17	mdf(A)	Macrolide	1539765	1540997	forward	1
A430_chr-17	aln	aln	1541097	1542097	forward	1
A430_p0-0	IS26	IS	15091	15910	forward	1
A430_p0-0	sul2	Sulphonamide	17354	18169	forward	1
A430_p0-0	strA	Aminoglycoside	18230	19033	forward	1
A430_p0-0	strB	Aminoglycoside	19033	19869	forward	1
A430_p0-0	tet(A)	Tetracycline	21130	22404	forward	1
A430_p0-0	floR	Phenicol	23005	24218	reverse	-1
A430_p0-0	ISVsa3	IS	25337	26313	reverse	-1
A430_p0-0	IS26	IS	28592	29410	reverse	-1
A430_p0-0	aac(3)-IId	Aminoglycoside	29580	30440	forward	1
A430_p0-0	ISCfr1	IS	33140	34756	forward	1
A430_p0-0	blaTEM-1B	Beta-lactam	35411	36271	forward	1
A430_p0-0	rmtB	Aminoglycoside	36441	37196	forward	1
A430_p0-0	sul1	Sulphonamide	39735	40601	reverse	-1
A430_p0-0	aadA2	Aminoglycoside	41079	41881	reverse	-1
A430_p0-0	dfrA12	Trimethoprim	42278	42775	reverse	-1
A430_p0-0	IS26	IS	44356	45175	reverse	-1
A430_p0-0	aln	aln	45275	46275	forward	1
A430_p1-2	IS1R	IS	28683	29447	forward	1
A430_p1-2	IS1294	IS	38013	39699	forward	1
A430_p1-2	tet(A)	Tetracycline	47223	48469	reverse	-1
A430_p1-2	oqxA	Quinolone	54927	56102	forward	1
A430_p1-2	oqxB	Quinolone	56126	59278	forward	1
A430_p1-2	dfrA12	Trimethoprim	62803	63299	forward	1
A430_p1-2	aadA2	Aminoglycoside	63697	64498	forward	1
A430_p1-2	IS6100	IS	66162	67041	forward	1
A430_p1-2	mph(A)	Macrolide	69283	70204	reverse	-1
A430_p1-2	IS26	IS	70274	71093	reverse	-1
A430_p1-2	aac(3)-IId	Aminoglycoside	73294	74154	reverse	-1
A430_p1-2	blaTEM-1B	Beta-lactam	76257	77116	forward	1
A430_p1-2	aln	aln	77216	78216	forward	1
A456_chr-1	blaCMY-2	Beta-lactam	471587	472730	reverse	-1
A456_chr-1	ISEc9	IS	472846	474500	reverse	-1
A456_chr-1	aln	aln	474600	475600	forward	1
A456_chr-11	mdf(A)	Macrolide	1501557	1502789	forward	1
A456_chr-11	aln	aln	1502889	1503889	forward	1
A456_chr-13	IS2	IS	1738345	1739675	forward	1
A456_chr-13	ISEc8	IS	1745117	1747558	forward	1
A456_chr-13	IS100kyp	IS	1748146	1750099	forward	1
A456_chr-13	IS4	IS	1750743	1752168	forward	1
A456_chr-13	ISEc9	IS	1752235	1753890	forward	1
A456_chr-13	blaCMY-2	Beta-lactam	1754007	1755152	forward	1
A456_chr-13	IS200C	IS	1755815	1756448	forward	1
A456_chr-13	aln	aln	1756548	1757548	forward	1
A456_chr-33	ISApl1	IS	4030369	4031437	reverse	-1
A456_chr-33	IS1294	IS	4031872	4033558	forward	1
A456_chr-33	mcr-1.1	Colistin	4033922	4035546	reverse	-1
A456_chr-33	ISApl1	IS	4035733	4036802	reverse	-1
A456_chr-33	aln	aln	4036902	4037902	forward	1
A456_p0-1	IS1A	IS	14405	15172	reverse	-1
A456_p0-1	IS26	IS	20125	20944	forward	1
A456_p0-1	tet(M)	Tetracycline	21790	23709	forward	1
A456_p0-1	ant(3'')-Ia	Aminoglycoside	25637	26438	reverse	-1
A456_p0-1	cmlA1	Phenicol	26521	27780	reverse	-1
A456_p0-1	aadA2	Aminoglycoside	28042	28843	reverse	-1
A456_p0-1	dfrA12	Trimethoprim	29241	29738	reverse	-1
A456_p0-1	IS1006	IS	35532	36350	reverse	-1
A456_p0-1	ISVsa3	IS	36351	37196	forward	1
A456_p0-1	floR	Phenicol	38315	39528	forward	1
A456_p0-1	ISVsa3	IS	40504	41480	forward	1
A456_p0-1	sul2	Sulphonamide	42032	42847	reverse	-1
A456_p0-1	ISAba1	IS	42866	44045	forward	1
A456_p0-1	IS26	IS	44707	45526	reverse	-1
A456_p0-1	tet(A)	Tetracycline	48056	49302	forward	1
A456_p0-1	IS26	IS	52845	53664	forward	1
A456_p0-1	aph(3')-Ia	Aminoglycoside	53802	54617	reverse	-1
A456_p0-1	IS26	IS	54705	55488	forward	1
A456_p0-1	ISApl1	IS	55488	56556	reverse	-1
A456_p0-1	sul3	Sulphonamide	58607	59398	forward	1
A456_p0-1	blaTEM-1B	Beta-lactam	59656	60516	reverse	-1
A456_p0-1	IS26	IS	61496	62315	reverse	-1
A456_p0-1	lnu(F)	Macrolide	62405	63226	reverse	-1
A456_p0-1	ant(3'')-Ia	Aminoglycoside	63360	64322	reverse	-1
A456_p0-1	IS26	IS	65092	65911	reverse	-1
A456_p0-1	aac(3)-IId	Aminoglycoside	66940	67800	reverse	-1
A456_p0-1	aln	aln	67900	68900	forward	1
A468_chr-10	mdf(A)	Macrolide	1565718	1566950	forward	1
A468_chr-10	aln	aln	1567050	1568050	forward	1
A468_p0-1	IS26	IS	80161	80980	forward	1
A468_p0-1	sul2	Sulphonamide	82424	83239	forward	1
A468_p0-1	strA	Aminoglycoside	83300	84103	forward	1
A468_p0-1	strB	Aminoglycoside	84103	84939	forward	1
A468_p0-1	floR	Phenicol	85896	87109	reverse	-1
A468_p0-1	ISVsa3	IS	88228	89204	reverse	-1
A468_p0-1	IS26	IS	91483	92302	reverse	-1
A468_p0-1	aac(3)-IId	Aminoglycoside	92472	93332	forward	1
A468_p0-1	ISCfr1	IS	96032	97648	forward	1
A468_p0-1	blaTEM-1B	Beta-lactam	98304	99164	forward	1
A468_p0-1	rmtB	Aminoglycoside	99334	100089	forward	1
A468_p0-1	sul1	Sulphonamide	102628	103494	reverse	-1
A468_p0-1	aadA2	Aminoglycoside	103972	104773	reverse	-1
A468_p0-1	dfrA12	Trimethoprim	105171	105668	reverse	-1
A468_p0-1	IS26	IS	107249	108068	reverse	-1
A468_p0-1	aln	aln	108168	109168	forward	1
A468_p1-4	ISEc8	IS	90251	92691	forward	1
A468_p1-4	IS30	IS	98545	99765	forward	1
A468_p1-4	IS91	IS	99792	101303	forward	1
A468_p1-4	tet(A)	Tetracycline	105970	107216	reverse	-1
A468_p1-4	blaTEM-1B	Beta-lactam	113920	114780	reverse	-1
A468_p1-4	aln	aln	114880	115880	forward	1
A58_chr-10	mdf(A)	Macrolide	682715	683947	forward	1
A58_chr-10	aln	aln	684047	685047	forward	1
A58_p0-2	IS1203	IS	62697	64005	reverse	-1
A58_p0-2	IS1203	IS	67887	69194	reverse	-1
A58_p0-2	sul2	Sulphonamide	74277	75092	forward	1
A58_p0-2	strA	Aminoglycoside	75153	75956	forward	1
A58_p0-2	strB	Aminoglycoside	75956	76792	forward	1
A58_p0-2	tet(A)	Tetracycline	78053	79327	forward	1
A58_p0-2	floR	Phenicol	79928	81137	reverse	-1
A58_p0-2	ISVsa3	IS	82256	83232	reverse	-1
A58_p0-2	IS26	IS	85511	86329	reverse	-1
A58_p0-2	dfrA14	Trimethoprim	87359	87841	forward	1
A58_p0-2	IS26	IS	87848	88667	forward	1
A58_p0-2	sul3	Sulphonamide	93668	94459	reverse	-1
A58_p0-2	IS26	IS	96282	97101	reverse	-1
A58_p0-2	aph(3')-Ia	Aminoglycoside	97189	98004	forward	1
A58_p0-2	IS26	IS	98482	99299	forward	1
A58_p0-2	IS26	IS	100644	101463	forward	1
A58_p0-2	aln	aln	101563	102563	forward	1
A58_p0-4	IS2	IS	138142	139480	forward	1
A58_p0-4	IS10R	IS	141814	142885	reverse	-1
A58_p0-4	aac(3)-IId	Aminoglycoside	142921	143781	forward	1
A58_p0-4	aln	aln	143881	144881	forward	1
A58_p1-1	ISCro1	IS	23185	25883	reverse	-1
A58_p1-1	IS26	IS	30450	31268	forward	1
A58_p1-1	IS1R	IS	32514	33281	forward	1
A58_p1-1	IS26	IS	34334	35153	reverse	-1
A58_p1-1	IS903B	IS	35357	36413	reverse	-1
A58_p1-1	blaCTX-M-14	Beta-lactam	37362	38237	forward	1
A58_p1-1	IS903B	IS	38240	39296	forward	1
A58_p1-1	cmlA1	Phenicol	42032	43291	reverse	-1
A58_p1-1	IS6100	IS	46001	46880	forward	1
A58_p1-1	mph(A)	Macrolide	49122	50043	reverse	-1
A58_p1-1	IS26	IS	50113	50932	reverse	-1
A58_p1-1	erm(B)	Macrolide	51199	51962	forward	1
A58_p1-1	IS26	IS	55373	56192	reverse	-1
A58_p1-1	IS1R	IS	62277	63044	reverse	-1
A58_p1-1	IS1294	IS	68134	69821	reverse	-1
A58_p1-1	aln	aln	69921	70921	forward	1
A58_p2-1	ISVsa3	IS	21675	22650	forward	1
A58_p2-1	floR	Phenicol	23769	24982	forward	1
A58_p2-1	ISVsa3	IS	25957	26933	forward	1
A58_p2-1	sul2	Sulphonamide	27485	28300	reverse	-1
A58_p2-1	ISSbo1	IS	28439	30147	reverse	-1
A58_p2-1	aln	aln	30247	31247	forward	1
A68_chr-3	IS3	IS	500018	501274	forward	1
A68_chr-3	floR	Phenicol	506285	507498	forward	1
A68_chr-3	tet(A)	Tetracycline	508099	509372	reverse	-1
A68_chr-3	strB	Aminoglycoside	510631	511467	reverse	-1
A68_chr-3	strA	Aminoglycoside	511467	512269	reverse	-1
A68_chr-3	sul2	Sulphonamide	512330	513145	reverse	-1
A68_chr-3	IS1H	IS	515358	516120	forward	1
A68_chr-3	aln	aln	516220	517220	forward	1
A68_chr-42	IS1A	IS	4229746	4230513	reverse	-1
A68_chr-42	mdf(A)	Macrolide	4236588	4237820	reverse	-1
A68_chr-42	aln	aln	4237920	4238920	forward	1
A68_p0-0	IS26	IS	24834	25652	reverse	-1
A68_p0-0	aac(3)-IId	Aminoglycoside	28281	29141	reverse	-1
A68_p0-0	IS10R	IS	29177	30247	forward	1
A68_p0-0	mph(A)	Macrolide	33270	34191	reverse	-1
A68_p0-0	IS26	IS	34261	35080	reverse	-1
A68_p0-0	fosA3	Fosfomycin	35403	35819	forward	1
A68_p0-0	IS26	IS	37578	38397	reverse	-1
A68_p0-0	IS26	IS	39288	40106	forward	1
A68_p0-0	dfrA17	Trimethoprim	40703	41176	forward	1
A68_p0-0	aadA5	Aminoglycoside	41307	41971	forward	1
A68_p0-0	blaCTX-M-15	Beta-lactam	43330	44205	reverse	-1
A68_p0-0	IS26	IS	44525	45344	reverse	-1
A68_p0-0	aln	aln	45444	46444	forward	1
A68_p1-1	aac(3)-IId	Aminoglycoside	32459	33319	forward	1
A68_p1-1	IS26	IS	34402	35220	forward	1
A68_p1-1	aph(3')-Ia	Aminoglycoside	35358	36173	reverse	-1
A68_p1-1	IS26	IS	36261	37079	forward	1
A68_p1-1	sul3	Sulphonamide	39100	39891	forward	1
A68_p1-1	ant(3'')-Ia	Aminoglycoside	41573	42374	reverse	-1
A68_p1-1	cmlA1	Phenicol	42457	43716	reverse	-1
A68_p1-1	aadA2	Aminoglycoside	43978	44779	reverse	-1
A68_p1-1	IS26	IS	47207	48026	forward	1
A68_p1-1	ISCro1	IS	48877	51294	forward	1
A68_p1-1	aln	aln	51394	52394	forward	1
A68_p1-2	tet(A)	Tetracycline	58952	60197	reverse	-1
A68_p1-2	dfrA17	Trimethoprim	63970	64443	forward	1
A68_p1-2	IS26	IS	65040	65859	reverse	-1
A68_p1-2	blaTEM-1B	Beta-lactam	66021	66881	forward	1
A68_p1-2	strB	Aminoglycoside	67730	68566	reverse	-1
A68_p1-2	strA	Aminoglycoside	68566	69369	reverse	-1
A68_p1-2	IS26	IS	69931	70750	forward	1
A68_p1-2	IS3	IS	73353	74610	reverse	-1
A68_p1-2	aln	aln	74710	75710	forward	1
A71_chr-3	mdf(A)	Macrolide	685947	687179	forward	1
A71_chr-3	IS1X2	IS	692937	693704	reverse	-1
A71_chr-3	aln	aln	693804	694804	forward	1
A71_p0-1	IS26	IS	45662	46481	reverse	-1
A71_p0-1	catA2	Phenicol	47148	47789	forward	1
A71_p0-1	IS26	IS	47881	48700	reverse	-1
A71_p0-1	tet(A)	Tetracycline	51230	52476	forward	1
A71_p0-1	IS26	IS	55533	56351	reverse	-1
A71_p0-1	aph(3')-Ia	Aminoglycoside	56828	57643	reverse	-1
A71_p0-1	IS26	IS	57731	58550	forward	1
A71_p0-1	IS26	IS	62746	63565	reverse	-1
A71_p0-1	aac(3)-IIa	Aminoglycoside	63609	64469	forward	1
A71_p0-1	IS26	IS	66166	66985	reverse	-1
A71_p0-1	blaCTX-M-55	Beta-lactam	69623	70498	reverse	-1
A71_p0-1	IS26	IS	73557	74375	reverse	-1
A71_p0-1	dfrA17	Trimethoprim	75215	75688	forward	1
A71_p0-1	aadA5	Aminoglycoside	75819	76607	forward	1
A71_p0-1	sul1	Sulphonamide	77127	77993	forward	1
A71_p0-1	IS6100	IS	80167	81046	forward	1
A71_p0-1	mph(A)	Macrolide	83288	84209	reverse	-1
A71_p0-1	IS26	IS	84279	85097	reverse	-1
A71_p0-1	erm(B)	Macrolide	85364	86127	forward	1
A71_p0-1	IS26	IS	89538	90356	reverse	-1
A71_p0-1	sul2	Sulphonamide	91225	92040	forward	1
A71_p0-1	strA	Aminoglycoside	92101	92904	forward	1
A71_p0-1	strB	Aminoglycoside	92904	93740	forward	1
A71_p0-1	IS26	IS	94427	95246	forward	1
A71_p0-1	aln	aln	95346	96346	forward	1
A87_chr-19	mdf(A)	Macrolide	1977651	1978883	reverse	-1
A87_chr-19	aln	aln	1978983	1979983	forward	1
A87_chr-49	IS1H	IS	4648315	4649075	reverse	-1
A87_chr-49	sul2	Sulphonamide	4651280	4652091	forward	1
A87_chr-49	strA	Aminoglycoside	4652152	4652953	forward	1
A87_chr-49	strB	Aminoglycoside	4652953	4653788	forward	1
A87_chr-49	tet(A)	Tetracycline	4655043	4656314	forward	1
A87_chr-49	floR	Phenicol	4656913	4658123	reverse	-1
A87_chr-49	ISEc17	IS	4663104	4664360	reverse	-1
A87_chr-49	aln	aln	4664460	4665460	forward	1
A87_p0-0	IS100kyp	IS	713	2665	reverse	-1
A87_p0-0	IS26	IS	6875	7692	reverse	-1
A87_p0-0	dfrA17	Trimethoprim	8532	9005	forward	1
A87_p0-0	aadA5	Aminoglycoside	9136	9924	forward	1
A87_p0-0	sul1	Sulphonamide	10444	11310	forward	1
A87_p0-0	IS6100	IS	13477	14355	forward	1
A87_p0-0	mph(A)	Macrolide	16597	17518	reverse	-1
A87_p0-0	erm(B)	Macrolide	18673	19434	forward	1
A87_p0-0	IS26	IS	22668	23484	reverse	-1
A87_p0-0	aac(3)-IIa	Aminoglycoside	23528	24388	forward	1
A87_p0-0	IS26	IS	26085	26904	reverse	-1
A87_p0-0	blaCTX-M-15	Beta-lactam	29533	30408	reverse	-1
A87_p0-0	ISEc9	IS	30457	32112	reverse	-1
A87_p0-0	IS26	IS	32434	33249	forward	1
A87_p0-0	aln	aln	33349	34349	forward	1
A87_p0-1	IS1R	IS	44339	45106	forward	1
A87_p0-1	tet(B)	Tetracycline	45956	47161	reverse	-1
A87_p0-1	IS26	IS	49139	49956	reverse	-1
A87_p0-1	IS1203	IS	49959	51155	forward	1
A87_p0-1	aln	aln	51255	52255	forward	1
A98_chr-16	mdf(A)	Macrolide	1577519	1578751	forward	1
A98_chr-16	aln	aln	1578851	1579851	forward	1
A98_p0-4	tet(A)	Tetracycline	94502	95748	reverse	-1
A98_p0-4	oqxA	Quinolone	102205	103380	forward	1
A98_p0-4	oqxB	Quinolone	103404	106556	forward	1
A98_p0-4	dfrA12	Trimethoprim	110080	110577	forward	1
A98_p0-4	aadA2	Aminoglycoside	110975	111776	forward	1
A98_p0-4	IS6100	IS	113441	114320	forward	1
A98_p0-4	mph(A)	Macrolide	116562	117483	reverse	-1
A98_p0-4	IS26	IS	117553	118372	reverse	-1
A98_p0-4	aph(3')-Ia	Aminoglycoside	118460	119275	forward	1
A98_p0-4	IS26	IS	119413	120230	reverse	-1
A98_p0-4	ISCfr1	IS	122376	123993	reverse	-1
A98_p0-4	aac(3)-IId	Aminoglycoside	126693	127553	reverse	-1
A98_p0-4	blaTEM-1B	Beta-lactam	129442	130302	forward	1
A98_p0-4	aln	aln	130402	131402	forward	1
A98_p1-0	blaCTX-M-55	Beta-lactam	32750	33625	forward	1
A98_p1-0	blaTEM-141	Beta-lactam	34407	35152	reverse	-1
A98_p1-0	IS26	IS	35148	35967	reverse	-1
A98_p1-0	IS26	IS	38876	39695	reverse	-1
A98_p1-0	aln	aln	39795	40795	forward	1
A98_p3-1	ISVsa3	IS	24306	25282	forward	1
A98_p3-1	floR	Phenicol	26401	27614	forward	1
A98_p3-1	ISVsa3	IS	28590	29567	forward	1
A98_p3-1	sul2	Sulphonamide	30119	30934	reverse	-1
A98_p3-1	ISSbo1	IS	31073	32781	reverse	-1
A98_p3-1	aln	aln	32881	33881	forward	1
A888_chr-44	IS1R	IS	4546498	4547265	forward	1
A888_chr-44	IS26	IS	4553339	4554156	forward	1
A888_chr-44	mph(A)	Macrolide	4554226	4555147	forward	1
A888_chr-44	IS6100	IS	4557389	4558266	reverse	-1
A888_chr-44	sul1	Sulphonamide	4560433	4561299	reverse	-1
A888_chr-44	aadA5	Aminoglycoside	4561819	4562605	reverse	-1
A888_chr-44	dfrA17	Trimethoprim	4562736	4563209	reverse	-1
A888_chr-44	IS1R	IS	4569061	4569827	reverse	-1
A888_chr-44	aln	aln	4569927	4570927	forward	1
A888_p0-3	IS26	IS	103014	103833	forward	1
A888_p0-3	blaCTX-M-14	Beta-lactam	104084	104959	forward	1
A888_p0-3	fosA3	Fosfomycin	105571	105987	forward	1
A888_p0-3	IS26	IS	107210	108028	reverse	-1
A888_p0-3	aac(3)-IVa	Aminoglycoside	108079	108863	forward	1
A888_p0-3	ISEc59	IS	110351	111241	reverse	-1
A888_p0-3	ISAba1	IS	113633	114812	reverse	-1
A888_p0-3	sul2	Sulphonamide	114831	115646	forward	1
A888_p0-3	ISVsa3	IS	116198	117174	reverse	-1
A888_p0-3	floR	Phenicol	118150	119363	reverse	-1
A888_p0-3	ISVsa3	IS	120482	121325	reverse	-1
A888_p0-3	IS1006	IS	121326	122144	forward	1
A888_p0-3	dfrA17	Trimethoprim	127952	128424	forward	1
A888_p0-3	IS26	IS	128435	129254	forward	1
A888_p0-3	oqxB	Quinolone	129853	133005	reverse	-1
A888_p0-3	oqxA	Quinolone	133029	134203	reverse	-1
A888_p0-3	IS1R	IS	140090	140857	reverse	-1
A888_p0-3	aln	aln	140957	141957	forward	1
